,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
BCL2L11,ENSG00000153094,Gene Expression,GRCh38,False,107,0.022836538,0.022579687,97.85657051282051,114.0,4.744932,92
ANAPC1,ENSG00000153107,Gene Expression,GRCh38,False,764,0.17387821,0.16031298,84.69551282051282,868.0,6.767343,620
MERTK,ENSG00000153208,Gene Expression,GRCh38,False,225,0.048677884,0.04753021,95.49278846153845,243.0,5.497168,195
TMEM87B,ENSG00000153214,Gene Expression,GRCh38,False,344,0.07371795,0.07112735,93.10897435897436,368.0,5.9107966,301
FBLN7,ENSG00000144152,Gene Expression,GRCh38,False,342,0.072516024,0.07000731,93.14903846153845,362.0,5.894403,278
ZC3H8,ENSG00000144161,Gene Expression,GRCh38,False,475,0.100961536,0.09618392,90.48477564102564,504.0,6.2245584,368
ZC3H6,ENSG00000188177,Gene Expression,GRCh38,False,1388,0.3565705,0.30495983,72.19551282051282,1780.0,7.4849305,1082
TTL,ENSG00000114999,Gene Expression,GRCh38,False,732,0.16646634,0.15397896,85.33653846153845,831.0,6.7238326,599
POLR1B,ENSG00000125630,Gene Expression,GRCh38,False,222,0.04727564,0.046192165,95.55288461538461,236.0,5.46806,189
CHCHD5,ENSG00000125611,Gene Expression,GRCh38,False,979,0.24419071,0.21848528,80.3886217948718,1219.0,7.106606,829
AC079922.2,ENSG00000237753,Gene Expression,GRCh38,False,196,0.040865384,0.040052466,96.07371794871796,204.0,5.32301,158
SLC20A1,ENSG00000144136,Gene Expression,GRCh38,False,2062,0.75961536,0.56509525,58.69391025641026,3792.0,8.240912,1667
PSD4,ENSG00000125637,Gene Expression,GRCh38,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133,13
PAX8-AS1,ENSG00000189223,Gene Expression,GRCh38,False,18,0.0038060897,0.003798865,99.63942307692307,19.0,2.9957323,14
CBWD2,ENSG00000136682,Gene Expression,GRCh38,False,511,0.111177884,0.10542061,89.7636217948718,555.0,6.3207684,418
FOXD4L1,ENSG00000184492,Gene Expression,GRCh38,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503,10
AL078621.4,ENSG00000287165,Gene Expression,GRCh38,False,29,0.005809295,0.005792486,99.41907051282051,29.0,3.4011974,22
RABL2A,ENSG00000144134,Gene Expression,GRCh38,False,653,0.14463142,0.13508268,86.91907051282051,722.0,6.5834093,471
SLC35F5,ENSG00000115084,Gene Expression,GRCh38,False,937,0.21654648,0.19601609,81.22996794871796,1081.0,6.9865665,723
AC104653.1,ENSG00000228857,Gene Expression,GRCh38,False,32,0.0068108975,0.006787808,99.35897435897436,34.0,3.5553482,26
ACTR3,ENSG00000115091,Gene Expression,GRCh38,False,1148,0.28104967,0.2476798,77.00320512820514,1403.0,7.247081,933
DPP10,ENSG00000175497,Gene Expression,GRCh38,False,448,0.10777243,0.10235118,91.02564102564102,538.0,6.289716,376
DPP10-AS1,ENSG00000235026,Gene Expression,GRCh38,False,367,0.08153045,0.07837712,92.64823717948718,407.0,6.011267,312
DDX18,ENSG00000088205,Gene Expression,GRCh38,False,897,0.20913461,0.1899049,82.03125,1044.0,6.951772,728
AC009404.1,ENSG00000236255,Gene Expression,GRCh38,False,55,0.011418269,0.011353573,98.89823717948718,57.0,4.060443,43
CCDC93,ENSG00000125633,Gene Expression,GRCh38,False,570,0.1260016,0.118672945,88.58173076923077,629.0,6.4457197,432
INSIG2,ENSG00000125629,Gene Expression,GRCh38,False,802,0.18489583,0.16965486,83.93429487179486,923.0,6.828712,671
MARCO,ENSG00000019169,Gene Expression,GRCh38,False,18,0.0040064105,0.003998406,99.63942307692307,20.0,3.0445225,11
C1QL2,ENSG00000144119,Gene Expression,GRCh38,False,114,0.024439102,0.024145246,97.71634615384616,122.0,4.8121843,98
STEAP3,ENSG00000115107,Gene Expression,GRCh38,False,214,0.04647436,0.045426764,95.71314102564102,232.0,5.4510384,158
C2orf76,ENSG00000186132,Gene Expression,GRCh38,False,276,0.058293268,0.056657486,94.47115384615384,291.0,5.676754,246
DBI,ENSG00000155368,Gene Expression,GRCh38,False,3648,2.916867,1.3652921,26.923076923076927,14561.0,9.586171,2802
AC013275.1,ENSG00000231013,Gene Expression,GRCh38,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887,14
CFAP221,ENSG00000163075,Gene Expression,GRCh38,False,75,0.015224359,0.015109631,98.49759615384616,76.0,4.3438053,67
TMEM177,ENSG00000144120,Gene Expression,GRCh38,False,506,0.10897436,0.10343559,89.86378205128204,544.0,6.300786,422
PTPN4,ENSG00000088179,Gene Expression,GRCh38,False,1897,0.5422676,0.43325382,61.99919871794872,2707.0,7.9039655,1510
EPB41L5,ENSG00000115109,Gene Expression,GRCh38,False,1049,0.25020033,0.22330381,78.9863782051282,1249.0,7.130899,780
TMEM185B,ENSG00000226479,Gene Expression,GRCh38,False,314,0.068910256,0.06663968,93.7099358974359,344.0,5.8435445,274
RALB,ENSG00000144118,Gene Expression,GRCh38,False,639,0.14643429,0.13665651,87.19951923076923,731.0,6.5957804,548
INHBB,ENSG00000163083,Gene Expression,GRCh38,False,57,0.012219551,0.012145495,98.85817307692307,61.0,4.1271343,49
GLI2,ENSG00000074047,Gene Expression,GRCh38,False,92,0.019030448,0.018851634,98.15705128205127,95.0,4.564348,78
TFCP2L1,ENSG00000115112,Gene Expression,GRCh38,False,70,0.014222756,0.014122562,98.59775641025641,71.0,4.276666,59
CLASP1,ENSG00000074054,Gene Expression,GRCh38,False,2064,0.63421476,0.49116242,58.65384615384615,3166.0,8.06054,1636
NIFK-AS1,ENSG00000236859,Gene Expression,GRCh38,False,268,0.055488784,0.05400396,94.63141025641025,277.0,5.627621,212
NIFK,ENSG00000155438,Gene Expression,GRCh38,False,521,0.11398237,0.107941315,89.56330128205127,569.0,6.3456364,435
TSN,ENSG00000211460,Gene Expression,GRCh38,False,1243,0.30949518,0.2696417,75.10016025641025,1545.0,7.343426,1015
CNTNAP5,ENSG00000155052,Gene Expression,GRCh38,False,67,0.014623397,0.014517507,98.65785256410257,73.0,4.304065,59
GYPC,ENSG00000136732,Gene Expression,GRCh38,False,142,0.029447116,0.029021878,97.15544871794873,147.0,4.9972124,103
AC012508.2,ENSG00000260634,Gene Expression,GRCh38,False,63,0.012620192,0.012541221,98.73798076923077,63.0,4.158883,49
AC012508.1,ENSG00000260163,Gene Expression,GRCh38,False,57,0.012419872,0.012343378,98.85817307692307,62.0,4.1431346,50
BIN1,ENSG00000136717,Gene Expression,GRCh38,False,2497,0.8084936,0.59249425,49.97996794871795,4036.0,8.303257,1846
ERCC3,ENSG00000163161,Gene Expression,GRCh38,False,1183,0.28745994,0.25267124,76.30208333333334,1435.0,7.2696166,866
MAP3K2,ENSG00000169967,Gene Expression,GRCh38,False,751,0.17107372,0.15792103,84.95592948717949,854.0,6.7511015,592
MAP3K2-DT,ENSG00000236682,Gene Expression,GRCh38,False,141,0.029046474,0.02863262,97.17548076923077,145.0,4.983607,105
IWS1,ENSG00000163166,Gene Expression,GRCh38,False,797,0.18489583,0.16965486,84.03445512820514,923.0,6.828712,639
MYO7B,ENSG00000169994,Gene Expression,GRCh38,False,22,0.0048076925,0.0047961725,99.55929487179486,24.0,3.218876,19
AC010976.2,ENSG00000272789,Gene Expression,GRCh38,False,15,0.0032051282,0.0032000027,99.69951923076923,16.0,2.8332133,10
LIMS2,ENSG00000072163,Gene Expression,GRCh38,False,220,0.047676284,0.04657465,95.59294871794873,238.0,5.4764633,159
GPR17,ENSG00000144230,Gene Expression,GRCh38,False,152,0.034455128,0.033874843,96.9551282051282,172.0,5.1532917,132
WDR33,ENSG00000136709,Gene Expression,GRCh38,False,1795,0.49939904,0.40506437,64.04246794871796,2493.0,7.8216434,1377
SFT2D3,ENSG00000173349,Gene Expression,GRCh38,False,205,0.043469552,0.042551268,95.89342948717949,217.0,5.3844953,167
POLR2D,ENSG00000144231,Gene Expression,GRCh38,False,576,0.1260016,0.118672945,88.46153846153845,629.0,6.4457197,465
AMMECR1L,ENSG00000144233,Gene Expression,GRCh38,False,438,0.095152244,0.09089339,91.22596153846155,475.0,6.1654177,363
AC012306.2,ENSG00000272667,Gene Expression,GRCh38,False,76,0.01582532,0.015701406,98.4775641025641,79.0,4.3820267,63
AC012306.3,ENSG00000286873,Gene Expression,GRCh38,False,31,0.006209936,0.006190734,99.37900641025641,31.0,3.465736,28
SAP130,ENSG00000136715,Gene Expression,GRCh38,False,591,0.12920673,0.12151538,88.1610576923077,645.0,6.4707994,469
UGGT1,ENSG00000136731,Gene Expression,GRCh38,False,584,0.12940705,0.12169276,88.30128205128204,646.0,6.4723463,471
HS6ST1,ENSG00000136720,Gene Expression,GRCh38,False,1310,0.33213142,0.28678024,73.75801282051282,1658.0,7.4139705,1090
CCDC74B,ENSG00000152076,Gene Expression,GRCh38,False,52,0.011017628,0.010957376,98.95833333333334,55.0,4.0253515,43
SMPD4,ENSG00000136699,Gene Expression,GRCh38,False,2457,0.78185093,0.5776527,50.78125,3903.0,8.269757,1709
MZT2B,ENSG00000152082,Gene Expression,GRCh38,False,4019,2.850561,1.3482188,19.49118589743589,14230.0,9.563178,2894
CCDC115,ENSG00000136710,Gene Expression,GRCh38,False,1382,0.35717148,0.30540273,72.31570512820514,1783.0,7.4866133,1143
IMP4,ENSG00000136718,Gene Expression,GRCh38,False,1302,0.3223157,0.27938452,73.91826923076923,1609.0,7.3839893,1067
PTPN18,ENSG00000072135,Gene Expression,GRCh38,False,1239,0.31270033,0.27208632,75.18028846153845,1561.0,7.353722,856
CFC1,ENSG00000136698,Gene Expression,GRCh38,False,316,0.067307696,0.06513931,93.6698717948718,336.0,5.820083,266
AC140481.1,ENSG00000229797,Gene Expression,GRCh38,False,38,0.0078125,0.0077821403,99.23878205128204,39.0,3.6888795,33
AMER3,ENSG00000178171,Gene Expression,GRCh38,False,535,0.114182696,0.10812113,89.28285256410257,570.0,6.347389,431
ARHGEF4,ENSG00000136002,Gene Expression,GRCh38,False,1495,0.39002404,0.32932103,70.05208333333333,1947.0,7.5745583,1195
FAM168B,ENSG00000152102,Gene Expression,GRCh38,False,2823,1.0072116,0.69674647,43.449519230769226,5028.0,8.522977,2113
PLEKHB2,ENSG00000115762,Gene Expression,GRCh38,False,2954,1.19371,0.78559417,40.82532051282052,5959.0,8.692825,2336
AC073869.3,ENSG00000273073,Gene Expression,GRCh38,False,47,0.009615385,0.009569451,99.05849358974359,48.0,3.8918202,39
MZT2A,ENSG00000173272,Gene Expression,GRCh38,False,2453,0.7928686,0.5838169,50.861378205128204,3958.0,8.283747,1951
CCDC74A,ENSG00000163040,Gene Expression,GRCh38,False,142,0.029847756,0.029410983,97.15544871794873,149.0,5.0106354,125
C2orf27A,ENSG00000287151,Gene Expression,GRCh38,False,167,0.034054488,0.033487473,96.65464743589743,170.0,5.1416636,130
AC093787.2,ENSG00000287414,Gene Expression,GRCh38,False,67,0.013621795,0.013529852,98.65785256410257,68.0,4.2341065,57
ANKRD30BL,ENSG00000163046,Gene Expression,GRCh38,False,22,0.004607372,0.0045967908,99.55929487179486,23.0,3.1780539,19
AC097532.2,ENSG00000272769,Gene Expression,GRCh38,False,27,0.005408654,0.0053940797,99.45913461538461,27.0,3.3322046,24
GPR39,ENSG00000183840,Gene Expression,GRCh38,False,24,0.0048076925,0.0047961725,99.51923076923077,24.0,3.218876,21
LYPD1,ENSG00000150551,Gene Expression,GRCh38,False,509,0.12459936,0.11742685,89.8036858974359,622.0,6.4345465,451
NCKAP5,ENSG00000176771,Gene Expression,GRCh38,False,101,0.020833334,0.020619288,97.97676282051282,104.0,4.65396,92
MGAT5,ENSG00000152127,Gene Expression,GRCh38,False,1746,0.5062099,0.4095965,65.02403846153845,2527.0,7.8351836,1409
TMEM163,ENSG00000152128,Gene Expression,GRCh38,False,1550,0.42608172,0.35493064,68.95032051282051,2127.0,7.6629376,1212
AC110620.2,ENSG00000287463,Gene Expression,GRCh38,False,74,0.015024038,0.014912295,98.5176282051282,75.0,4.3307333,63
CCNT2-AS1,ENSG00000224043,Gene Expression,GRCh38,False,87,0.017828526,0.017671462,98.25721153846155,89.0,4.4998097,69
CCNT2,ENSG00000082258,Gene Expression,GRCh38,False,1209,0.29286858,0.25686345,75.78125,1462.0,7.2882442,939
RAB3GAP1,ENSG00000115839,Gene Expression,GRCh38,False,1251,0.30709136,0.26780432,74.93990384615384,1533.0,7.3356338,1010
ZRANB3,ENSG00000121988,Gene Expression,GRCh38,False,55,0.011017628,0.010957376,98.89823717948718,55.0,4.0253515,47
R3HDM1,ENSG00000048991,Gene Expression,GRCh38,False,1129,0.2716346,0.24030316,77.3838141025641,1356.0,7.213032,824
UBXN4,ENSG00000144224,Gene Expression,GRCh38,False,1551,0.39803687,0.335069,68.93028846153845,1987.0,7.5948844,1195
MCM6,ENSG00000076003,Gene Expression,GRCh38,False,550,0.11959135,0.11296375,88.9823717948718,597.0,6.393591,449
DARS,ENSG00000115866,Gene Expression,GRCh38,False,1254,0.33032852,0.28542593,74.8798076923077,1649.0,7.4085307,1053
DARS-AS1,ENSG00000231890,Gene Expression,GRCh38,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718,16
CXCR4,ENSG00000121966,Gene Expression,GRCh38,False,86,0.018229166,0.018065007,98.27724358974359,91.0,4.5217886,63
THSD7B,ENSG00000144229,Gene Expression,GRCh38,False,43,0.008613782,0.008576895,99.1386217948718,43.0,3.7841897,34
HNMT,ENSG00000150540,Gene Expression,GRCh38,False,667,0.16546474,0.15311994,86.6386217948718,826.0,6.717805,596
SPOPL,ENSG00000144228,Gene Expression,GRCh38,False,309,0.06530449,0.06326066,93.81009615384616,326.0,5.7899604,251
NXPH2,ENSG00000144227,Gene Expression,GRCh38,False,97,0.020633012,0.020423034,98.05689102564102,103.0,4.644391,89
LRP1B,ENSG00000168702,Gene Expression,GRCh38,False,470,0.10276442,0.09782013,90.5849358974359,513.0,6.2422233,396
ARHGAP15,ENSG00000075884,Gene Expression,GRCh38,False,20,0.004206731,0.0041979076,99.59935897435898,21.0,3.0910425,17
GTDC1,ENSG00000121964,Gene Expression,GRCh38,False,527,0.114983976,0.10884003,89.44310897435898,574.0,6.35437,421
ZEB2,ENSG00000169554,Gene Expression,GRCh38,False,733,0.17267628,0.15928856,85.31650641025641,862.0,6.7604146,607
ZEB2-AS1,ENSG00000238057,Gene Expression,GRCh38,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887,11
AC009951.6,ENSG00000287115,Gene Expression,GRCh38,False,164,0.035456732,0.034842618,96.71474358974359,177.0,5.1817837,150
ACVR2A,ENSG00000121989,Gene Expression,GRCh38,False,420,0.09014423,0.08631001,91.58653846153845,450.0,6.1114674,329
ORC4,ENSG00000115947,Gene Expression,GRCh38,False,1435,0.37039262,0.31509727,71.25400641025641,1849.0,7.522941,1122
MBD5,ENSG00000204406,Gene Expression,GRCh38,False,524,0.11478365,0.108660355,89.50320512820514,573.0,6.352629,428
EPC2,ENSG00000135999,Gene Expression,GRCh38,False,594,0.13261218,0.124526635,88.10096153846155,662.0,6.496775,488
KIF5C,ENSG00000168280,Gene Expression,GRCh38,False,4006,2.534455,1.2625592,19.751602564102566,12652.0,9.445649,2825
LYPD6B,ENSG00000150556,Gene Expression,GRCh38,False,57,0.01161859,0.011551612,98.85817307692307,58.0,4.0775375,50
LYPD6,ENSG00000187123,Gene Expression,GRCh38,False,405,0.09034455,0.086493745,91.88701923076923,451.0,6.1136823,370
MMADHC,ENSG00000168288,Gene Expression,GRCh38,False,1298,0.33273238,0.28723127,73.99839743589743,1661.0,7.415777,1070
AC007364.1,ENSG00000231969,Gene Expression,GRCh38,False,47,0.009815705,0.009767844,99.05849358974359,49.0,3.912023,41
RND3,ENSG00000115963,Gene Expression,GRCh38,False,192,0.041266024,0.040437303,96.15384615384616,206.0,5.332719,164
RBM43,ENSG00000184898,Gene Expression,GRCh38,False,34,0.007011218,0.0069867535,99.31891025641025,35.0,3.583519,30
NMI,ENSG00000123609,Gene Expression,GRCh38,False,38,0.0078125,0.0077821403,99.23878205128204,39.0,3.6888795,27
RIF1,ENSG00000080345,Gene Expression,GRCh38,False,1299,0.32091346,0.2783235,73.97836538461539,1602.0,7.379632,971
NEB,ENSG00000183091,Gene Expression,GRCh38,False,72,0.014823718,0.014714921,98.5576923076923,74.0,4.317488,60
ARL5A,ENSG00000162980,Gene Expression,GRCh38,False,702,0.15845352,0.14708595,85.9375,791.0,6.6745615,589
AC097448.1,ENSG00000288066,Gene Expression,GRCh38,False,42,0.008814103,0.008775486,99.15865384615384,44.0,3.8066626,25
CACNB4,ENSG00000182389,Gene Expression,GRCh38,False,2252,0.7139423,0.5387961,54.887820512820504,3564.0,8.17892,1752
STAM2,ENSG00000115145,Gene Expression,GRCh38,False,553,0.122796476,0.11582243,88.92227564102564,613.0,6.419995,452
FMNL2,ENSG00000157827,Gene Expression,GRCh38,False,1566,0.41145834,0.34462345,68.6298076923077,2054.0,7.6280313,1169
PRPF40A,ENSG00000196504,Gene Expression,GRCh38,False,898,0.20913461,0.1899049,82.01121794871796,1044.0,6.951772,731
ARL6IP6,ENSG00000177917,Gene Expression,GRCh38,False,280,0.061097756,0.05930399,94.39102564102564,305.0,5.723585,234
RPRM,ENSG00000177519,Gene Expression,GRCh38,False,240,0.051081732,0.049819853,95.1923076923077,255.0,5.5451775,197
GALNT13,ENSG00000144278,Gene Expression,GRCh38,False,1076,0.26181892,0.23255426,78.44551282051282,1307.0,7.1762547,872
AC061961.1,ENSG00000287900,Gene Expression,GRCh38,False,344,0.072115384,0.06963369,93.10897435897436,360.0,5.888878,255
KCNJ3,ENSG00000162989,Gene Expression,GRCh38,False,1789,0.5118189,0.41331348,64.16266025641026,2555.0,7.846199,1383
AC073225.1,ENSG00000286679,Gene Expression,GRCh38,False,615,0.1396234,0.13069786,87.68028846153845,697.0,6.548219,486
NR4A2,ENSG00000153234,Gene Expression,GRCh38,False,609,0.14142628,0.1322786,87.80048076923077,706.0,6.561031,480
GPD2,ENSG00000115159,Gene Expression,GRCh38,False,939,0.21935096,0.19831872,81.18990384615384,1095.0,6.9994226,758
GALNT5,ENSG00000136542,Gene Expression,GRCh38,False,335,0.072516024,0.07000731,93.28926282051282,362.0,5.894403,262
ERMN,ENSG00000136541,Gene Expression,GRCh38,False,381,0.09334936,0.08924579,92.36778846153845,466.0,6.1463294,278
ACVR1C,ENSG00000123612,Gene Expression,GRCh38,False,89,0.018229166,0.018065007,98.21714743589743,91.0,4.5217886,73
ACVR1,ENSG00000115170,Gene Expression,GRCh38,False,283,0.060697116,0.058926348,94.33092948717949,303.0,5.7170277,241
UPP2,ENSG00000007001,Gene Expression,GRCh38,False,35,0.007011218,0.0069867535,99.2988782051282,35.0,3.583519,28
AC013731.1,ENSG00000270557,Gene Expression,GRCh38,False,114,0.02323718,0.022971308,97.71634615384616,116.0,4.762174,84
AC091488.1,ENSG00000271320,Gene Expression,GRCh38,False,47,0.010016026,0.009966198,99.05849358974359,50.0,3.9318256,38
CCDC148,ENSG00000153237,Gene Expression,GRCh38,False,90,0.018429488,0.018261723,98.19711538461539,92.0,4.5325994,70
PKP4,ENSG00000144283,Gene Expression,GRCh38,False,1952,0.5270433,0.42333338,60.897435897435905,2631.0,7.8754992,1499
DAPL1,ENSG00000163331,Gene Expression,GRCh38,False,72,0.015224359,0.015109631,98.5576923076923,76.0,4.3438053,63
TANC1,ENSG00000115183,Gene Expression,GRCh38,False,775,0.18409455,0.1689784,84.47516025641025,919.0,6.8243737,640
WDSUB1,ENSG00000196151,Gene Expression,GRCh38,False,448,0.09775641,0.09326847,91.02564102564102,488.0,6.1923623,349
BAZ2B,ENSG00000123636,Gene Expression,GRCh38,False,1395,0.3507612,0.3006683,72.05528846153845,1751.0,7.4685135,1003
AC009506.1,ENSG00000224152,Gene Expression,GRCh38,False,102,0.020633012,0.020423034,97.95673076923077,103.0,4.644391,84
AC009961.1,ENSG00000226266,Gene Expression,GRCh38,False,39,0.008012821,0.007980889,99.21875,40.0,3.713572,31
MARCH7,ENSG00000136536,Gene Expression,GRCh38,False,1231,0.30348557,0.2650419,75.34054487179486,1515.0,7.3238306,972
CD302,ENSG00000241399,Gene Expression,GRCh38,False,352,0.075120196,0.072432466,92.94871794871796,375.0,5.9295893,305
LY75,ENSG00000054219,Gene Expression,GRCh38,False,46,0.009615385,0.009569451,99.07852564102564,48.0,3.8918202,34
PLA2R1,ENSG00000153246,Gene Expression,GRCh38,False,449,0.09695513,0.092538275,91.00560897435898,484.0,6.184149,325
RBMS1,ENSG00000153250,Gene Expression,GRCh38,False,472,0.107572116,0.10217033,90.5448717948718,537.0,6.2878585,405
TANK,ENSG00000136560,Gene Expression,GRCh38,False,741,0.16766827,0.15500882,85.15625,837.0,6.731018,605
PSMD14,ENSG00000115233,Gene Expression,GRCh38,False,1312,0.32952723,0.28482342,73.71794871794873,1645.0,7.4061036,1077
SLC4A10,ENSG00000144290,Gene Expression,GRCh38,False,1577,0.42828527,0.3564746,68.40945512820514,2138.0,7.6680937,1288
IFIH1,ENSG00000115267,Gene Expression,GRCh38,False,39,0.0078125,0.0077821403,99.21875,39.0,3.6888795,33
GCA,ENSG00000115271,Gene Expression,GRCh38,False,806,0.18329327,0.16830146,83.85416666666666,915.0,6.8200164,640
FIGN,ENSG00000182263,Gene Expression,GRCh38,False,157,0.033854168,0.033293728,96.85496794871796,169.0,5.1357985,133
GRB14,ENSG00000115290,Gene Expression,GRCh38,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718,14
COBLL1,ENSG00000082438,Gene Expression,GRCh38,False,220,0.046073716,0.045043837,95.59294871794873,230.0,5.4424176,180
SLC38A11,ENSG00000169507,Gene Expression,GRCh38,False,63,0.013020833,0.0129367905,98.73798076923077,65.0,4.189655,51
SCN3A,ENSG00000153253,Gene Expression,GRCh38,False,843,0.19551282,0.17857523,83.11298076923077,976.0,6.8844867,634
SCN2A,ENSG00000136531,Gene Expression,GRCh38,False,3100,1.2722356,0.8207642,37.90064102564102,6351.0,8.756525,2219
AC011303.1,ENSG00000288089,Gene Expression,GRCh38,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837,25
CSRNP3,ENSG00000178662,Gene Expression,GRCh38,False,616,0.14002404,0.13104935,87.66025641025641,699.0,6.55108,544
GALNT3,ENSG00000115339,Gene Expression,GRCh38,False,55,0.011017628,0.010957376,98.89823717948718,55.0,4.0253515,43
TTC21B,ENSG00000123607,Gene Expression,GRCh38,False,688,0.1532452,0.14257988,86.21794871794873,765.0,6.641182,524
SCN1A-AS1,ENSG00000236107,Gene Expression,GRCh38,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503,13
SCN1A,ENSG00000144285,Gene Expression,GRCh38,False,1069,0.26883012,0.23809531,78.58573717948718,1342.0,7.202661,895
SCN9A,ENSG00000169432,Gene Expression,GRCh38,False,27,0.005408654,0.0053940797,99.45913461538461,27.0,3.3322046,24
B3GALT1,ENSG00000172318,Gene Expression,GRCh38,False,415,0.08874199,0.08502289,91.68669871794873,443.0,6.0958247,346
STK39,ENSG00000198648,Gene Expression,GRCh38,False,1227,0.30869392,0.26902962,75.42067307692308,1541.0,7.3408356,975
CERS6,ENSG00000172292,Gene Expression,GRCh38,False,1270,0.32071313,0.27817184,74.55929487179486,1601.0,7.3790083,984
NOSTRIN,ENSG00000163072,Gene Expression,GRCh38,False,118,0.024639424,0.02434077,97.63621794871796,123.0,4.8202815,93
LRP2,ENSG00000081479,Gene Expression,GRCh38,False,57,0.01161859,0.011551612,98.85817307692307,58.0,4.0775375,40
BBS5,ENSG00000163093,Gene Expression,GRCh38,False,568,0.1260016,0.118672945,88.62179487179486,629.0,6.4457197,437
KLHL41,ENSG00000239474,Gene Expression,GRCh38,False,94,0.019030448,0.018851634,98.11698717948718,95.0,4.564348,70
FASTKD1,ENSG00000138399,Gene Expression,GRCh38,False,475,0.103766024,0.09872799,90.48477564102564,518.0,6.251904,361
PPIG,ENSG00000138398,Gene Expression,GRCh38,False,1151,0.27704328,0.24454747,76.94310897435898,1383.0,7.2327332,896
CCDC173,ENSG00000154479,Gene Expression,GRCh38,False,111,0.024639424,0.02434077,97.7764423076923,123.0,4.8202815,79
PHOSPHO2,ENSG00000144362,Gene Expression,GRCh38,False,53,0.010616987,0.010561023,98.93830128205127,53.0,3.988984,46
KLHL23,ENSG00000213160,Gene Expression,GRCh38,False,401,0.087740384,0.084102504,91.96714743589743,438.0,6.0844994,326
SSB,ENSG00000138385,Gene Expression,GRCh38,False,1673,0.44090545,0.3652717,66.4863782051282,2201.0,7.697121,1306
METTL5,ENSG00000138382,Gene Expression,GRCh38,False,1248,0.3096955,0.26979467,75.0,1546.0,7.344073,1011
UBR3,ENSG00000144357,Gene Expression,GRCh38,False,1427,0.3611779,0.3083504,71.41426282051282,1803.0,7.4977617,1128
AC007405.1,ENSG00000234350,Gene Expression,GRCh38,False,64,0.012820513,0.012739026,98.71794871794873,64.0,4.1743875,58
SP5,ENSG00000204335,Gene Expression,GRCh38,False,418,0.09415064,0.08997839,91.62660256410257,470.0,6.154858,349
AC007405.3,ENSG00000239467,Gene Expression,GRCh38,False,422,0.09174679,0.08777898,91.54647435897436,458.0,6.1290503,369
ERICH2,ENSG00000204334,Gene Expression,GRCh38,False,155,0.032451924,0.03193648,96.89503205128204,162.0,5.09375,143
GAD1,ENSG00000128683,Gene Expression,GRCh38,False,3047,1.9761618,1.0906345,38.962339743589745,9865.0,9.19685,2464
AC007405.2,ENSG00000235934,Gene Expression,GRCh38,False,96,0.01963141,0.019441199,98.07692307692307,98.0,4.59512,81
GORASP2,ENSG00000115806,Gene Expression,GRCh38,False,1163,0.28966346,0.2543813,76.70272435897436,1446.0,7.277248,977
TLK1,ENSG00000198586,Gene Expression,GRCh38,False,924,0.2177484,0.19700359,81.49038461538461,1087.0,6.9920964,739
METTL8,ENSG00000123600,Gene Expression,GRCh38,False,232,0.049278848,0.048103116,95.3525641025641,246.0,5.5093884,181
DCAF17,ENSG00000115827,Gene Expression,GRCh38,False,309,0.06750801,0.065326974,93.81009615384616,337.0,5.8230457,249
CYBRD1,ENSG00000071967,Gene Expression,GRCh38,False,486,0.11097757,0.10524032,90.26442307692307,554.0,6.3189683,420
DYNC1I2,ENSG00000077380,Gene Expression,GRCh38,False,1640,0.4278846,0.35619405,67.1474358974359,2136.0,7.667158,1289
SLC25A12,ENSG00000115840,Gene Expression,GRCh38,False,1462,0.38681892,0.32701257,70.71314102564102,1931.0,7.566311,1200
HAT1,ENSG00000128708,Gene Expression,GRCh38,False,508,0.11137821,0.10560087,89.82371794871796,556.0,6.322565,427
METAP1D,ENSG00000172878,Gene Expression,GRCh38,False,185,0.038261216,0.037547406,96.29407051282051,191.0,5.2574954,137
ITGA6,ENSG00000091409,Gene Expression,GRCh38,False,206,0.044270832,0.043318875,95.87339743589743,221.0,5.4026775,167
ITGA6-AS1,ENSG00000232788,Gene Expression,GRCh38,False,18,0.0036057692,0.003599284,99.63942307692307,18.0,2.944439,16
AC078883.1,ENSG00000225205,Gene Expression,GRCh38,False,19,0.0038060897,0.003798865,99.61939102564102,19.0,2.9957323,13
PDK1,ENSG00000152256,Gene Expression,GRCh38,False,280,0.057892628,0.056278843,94.39102564102564,289.0,5.669881,229
RAPGEF4-AS1,ENSG00000228016,Gene Expression,GRCh38,False,40,0.008413462,0.008378266,99.19871794871796,42.0,3.7612002,29
RAPGEF4,ENSG00000091428,Gene Expression,GRCh38,False,1434,0.36418268,0.3105555,71.27403846153845,1818.0,7.506042,1135
